schema:identifier,schema:latitude,schema:longitude,ksj:NOO,ksj:NPL,ksj:AS3,ksj:DSO,ksj:PAN,ksj:PMP,ksj:CSB,ksj:TPE,ksj:CSU,ksj:DEM,ksj:DEC,ksj:DEE,ksj:DSH,ksj:STS,ksj:FUT,ksj:DBP,ksj:DPS,ksj:DAC,ksj:NWS,ksj:GRP,ksj:TWG,ksj:MGP,ksj:MUW,ksj:MER,ksj:UPP,ksj:LOP,ksj:CWW,ksj:TWW,ksj:NWW,ksj:HPC
fc04_295,37.9969539397785,138.323595593733,双日佐和田火力株式会社,双日佐和田火力発電所,新潟県佐渡市八幡,2000-06,1,5.3,専焼,8,原油,,0,0,,,,,,,,,,,,,,,,,,
fc04_296,37.9969539397785,138.323595593733,双日佐和田火力株式会社,双日佐和田火力発電所,新潟県佐渡市八幡,2005-06,2,7.9,専焼,8,原油,,0,0,,,,,,,,,,,,,,,,,,
fc04_297,37.9996371128369,139.241141992016,東北電力株式会社,東新潟火力発電所,新潟県北蒲原郡聖籠町東港1丁目1-155,1999-07,4コ,826,専焼,4,LNG,,4000,100,,,,,,,,,,,,,,,,,,
fc04_298,37.9996371128369,139.241141992016,東北電力株式会社,東新潟火力発電所,新潟県北蒲原郡聖籠町東港1丁目1-155,1977-04,1,600,専混焼,4,原油,,0,0,,,,,,,,,,,,,,,,,,
fc04_299,37.9996371128369,139.241141992016,東北電力株式会社,東新潟火力発電所,新潟県北蒲原郡聖籠町東港1丁目1-155,1985-10,3コ,1090,専焼,4,LNG,,7700,100,,,,,,,,,,,,,,,,,,
fc04_300,37.9996371128369,139.241141992016,東北電力株式会社,東新潟火力発電所,新潟県北蒲原郡聖籠町東港1丁目1-155,1983-06,2,600,専混焼,4,原油,,1870,100,,,,,,,,,,,,,,,,,,
fc04_301,37.9996371128369,139.241141992016,東北電力株式会社,東新潟火力発電所,新潟県北蒲原郡聖籠町東港1丁目1-155,1972-11,港1,350,混焼,4,原油,,0,0,1984-03,,,,,,,,,,,,,,,,,
fc04_302,37.9996371128369,139.241141992016,東北電力株式会社,東新潟火力発電所,新潟県北蒲原郡聖籠町東港1丁目1-155,1975-11,港2,350,混焼,4,原油,,0,0,1984-03,,,,,,,,,,,,,,,,,
fc04_303,35.2145568324658,139.717152452786,東京電力株式会社,横須賀火力発電所,神奈川県横須賀市久里浜9-2-1,1971-07,G/T1,30,専焼,8,軽油,,0,0,,,,,,,,,,,,,,,,,,
fc04_304,35.3615562220794,139.377511813775,株式会社トーメンパワー寒川,寒川パワーステーション,神奈川県高座郡寒川町一ノ宮7－10－2,1999-06,1,65.5,専焼,8,灯油,,0,0,,,,,,,,,,,,,,,,,,
fc04_305,35.358887151267,139.459056827236,株式会社荏原製作所,藤沢工場第二火力発電所,神奈川県藤沢市本藤沢4-2-1,1999-06,1,64,専焼,5,都市ガス,,0,0,,,,,,,,,,,,,,,,,,
fc04_306,35.4041227373822,139.635953909228,電源開発株式会社,磯子火力発電所,神奈川県横浜市磯子区,2009-07,2,600,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_307,35.4153471041256,139.644253563381,新日本石油精製株式会社,根岸製油所ガス化複合発電所,神奈川県横浜市中区千鳥町3番地,2003-06,1,342,混焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_308,35.344111380761,139.833797481774,東京電力株式会社,富津火力発電所,千葉県富津市新富25,2003-11,3コ,1520,専焼,4,LNG,,7480,100,,,,,,,,,,,,,,,,,,
fc04_309,35.344111380761,139.833797481774,東京電力株式会社,富津火力発電所,千葉県富津市新富25,2008-07,4コ,1520,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_310,35.3468126152482,139.869229514914,君津共同火力株式会社,君津共同火力発電所,千葉県君津市君津1番地,2004-07,5,300,混焼,8,BFG,,0,0,,,,,,,,,,,,,,,,,,
fc04_311,35.4856212754713,139.660656881493,新日本石油精製株式会社,横浜火力発電所,神奈川県横浜市神奈川区子安通三丁目390番地,2000-06,3,48.53,専焼,8,軽油,,0,0,,,,,,,,,,,,,,,,,,
fc04_312,35.5142727352255,139.743410241639,株式会社ジェネックス,水江発電所,神奈川県川崎市川崎区水江町3番1号,2003-06,1,238,専焼,8,LDG,,0,0,,,,,,,,,,,,,,,,,,
fc04_313,35.513994572711,139.760043412409,東京電力株式会社,川崎火力発電所,神奈川県川崎市川崎区千鳥町5-1,2007-07,1コ,1500,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_314,35.513994572711,139.760043412409,東京電力株式会社,川崎火力発電所,神奈川県川崎市川崎区千鳥町5-1,2016,2コ,1500,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_315,35.5219893814796,139.760102867349,昭和電工株式会社,川崎工場発電所,神奈川県川崎市川崎区千鳥町2-3,1999-06,4,62.1,専焼,8,残渣油,,0,0,,,,,,,,,,,,,,,,,,
fc04_316,35.5219893814796,139.760102867349,昭和電工株式会社,川崎工場発電所,神奈川県川崎市川崎区千鳥町2-3,1999-06,3,62.1,専焼,8,残渣油,,0,0,,,,,,,,,,,,,,,,,,
fc04_317,35.5807043330676,140.125525550214,JFEスモール株式会社,川鉄千葉グリーンパワーステーション,千葉県千葉市中央区川崎町,2002-06,1,381.8,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_318,35.5645921736097,140.105666184325,東京電力株式会社,千葉火力発電所,千葉県千葉市中央区蘇我町2-1377,2000-04,1コ,1440,専焼,4,LNG,,7480,100,,,,,,,,,,,,,,,,,,
fc04_319,35.5645921736097,140.105666184325,東京電力株式会社,千葉火力発電所,千葉県千葉市中央区蘇我町2-1377,2000-06,2コ,1440,専焼,4,LNG,,7480,100,,,,,,,,,,,,,,,,,,
fc04_320,35.9407355920247,140.688360764363,住友金属工業株式会社,住友金属鹿島火力発電所,茨城県鹿嶋市光3番地,2007-06,1,475,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_321,36.365612242386,138.925336612676,群馬県,高浜発電所,群馬県高崎市高浜町,1996-11,1,25,混焼,5,廃棄物,,0,0,,,,,,,,,,,,,,,,,,
fc04_322,36.4366082031839,140.609835211113,東京電力株式会社,常陸那珂火力発電所,茨城県那珂郡東海村照沼768-23,2003-12,1,1000,専焼,3,石炭,湿式,3280,100,,,,,,,,,,,,,,,,,,
